,0
0,0.5121115173674589
1,0.5105118829981719
2,0.5119972577696527
3,0.5125685557586838
4,0.5132541133455211
5,0.511083180987203
6,0.5111974405850092
7,0.5117687385740403
8,0.5109689213893968
9,0.5119972577696527
10,0.5119972577696527
11,0.5114259597806216
12,0.5115402193784278
13,0.5109689213893968
14,0.5122257769652651
15,0.5108546617915904
16,0.5115402193784278
17,0.511083180987203
18,0.5121115173674589
19,0.5109689213893968
20,0.5122257769652651
21,0.5121115173674589
22,0.511654478976234
23,0.5119972577696527
24,0.5122257769652651
25,0.5119972577696527
26,0.5124542961608776
27,0.5121115173674589
28,0.511654478976234
29,0.5115402193784278
30,0.5121115173674589
31,0.5115402193784278
32,0.5114259597806216
33,0.5122257769652651
34,0.5117687385740403
35,0.5115402193784278
36,0.5118829981718465
37,0.511083180987203
38,0.5124542961608776
39,0.5118829981718465
40,0.5109689213893968
41,0.5118829981718465
42,0.5114259597806216
43,0.5113117001828154
44,0.5118829981718465
45,0.5117687385740403
46,0.5117687385740403
47,0.5123400365630713
48,0.511654478976234
49,0.5111974405850092
50,0.5125685557586838
51,0.5114259597806216
52,0.5122257769652651
53,0.5125685557586838
54,0.5115402193784278
55,0.5117687385740403
56,0.5121115173674589
57,0.511654478976234
58,0.5119972577696527
59,0.5117687385740403
60,0.5117687385740403
61,0.5121115173674589
62,0.5118829981718465
63,0.5121115173674589
64,0.511654478976234
65,0.5117687385740403
66,0.5118829981718465
67,0.5119972577696527
68,0.5118829981718465
69,0.5121115173674589
70,0.5117687385740403
71,0.5118829981718465
72,0.5119972577696527
73,0.5123400365630713
74,0.5117687385740403
75,0.511654478976234
76,0.5113117001828154
77,0.5117687385740403
78,0.5119972577696527
79,0.5118829981718465
80,0.5121115173674589
81,0.5121115173674589
82,0.5118829981718465
83,0.5117687385740403
84,0.5117687385740403
85,0.5117687385740403
86,0.511654478976234
87,0.511654478976234
88,0.5118829981718465
89,0.5122257769652651
90,0.511654478976234
91,0.511654478976234
92,0.5121115173674589
93,0.5121115173674589
94,0.5117687385740403
95,0.5117687385740403
96,0.5118829981718465
97,0.5121115173674589
98,0.5118829981718465
99,0.511654478976234
100,0.5123400365630713
101,0.5115402193784278
102,0.5123400365630713
103,0.5117687385740403
104,0.5117687385740403
105,0.5119972577696527
106,0.5119972577696527
107,0.5117687385740403
108,0.5118829981718465
109,0.5119972577696527
110,0.5121115173674589
111,0.5118829981718465
112,0.5113117001828154
113,0.5122257769652651
114,0.5118829981718465
115,0.5118829981718465
116,0.5121115173674589
117,0.5117687385740403
118,0.5117687385740403
119,0.5121115173674589
120,0.5119972577696527
121,0.5119972577696527
122,0.5119972577696527
123,0.5119972577696527
124,0.5119972577696527
125,0.5119972577696527
126,0.5119972577696527
127,0.511654478976234
128,0.511654478976234
129,0.5117687385740403
130,0.5117687385740403
131,0.5115402193784278
132,0.5118829981718465
133,0.511654478976234
134,0.5118829981718465
135,0.5117687385740403
136,0.5118829981718465
137,0.5118829981718465
138,0.5117687385740403
139,0.5121115173674589
140,0.5119972577696527
141,0.5118829981718465
142,0.5121115173674589
143,0.5117687385740403
144,0.5118829981718465
145,0.5115402193784278
146,0.5118829981718465
147,0.5118829981718465
148,0.5118829981718465
149,0.5118829981718465
150,0.5119972577696527
151,0.5118829981718465
152,0.5117687385740403
153,0.5119972577696527
154,0.5118829981718465
155,0.5118829981718465
156,0.5117687385740403
157,0.5118829981718465
158,0.5115402193784278
159,0.5121115173674589
160,0.5118829981718465
161,0.5121115173674589
162,0.5119972577696527
163,0.511654478976234
164,0.5117687385740403
165,0.5119972577696527
166,0.5119972577696527
167,0.5119972577696527
168,0.5121115173674589
169,0.5119972577696527
170,0.5118829981718465
171,0.5119972577696527
172,0.5117687385740403
173,0.5118829981718465
174,0.5122257769652651
175,0.5111974405850092
176,0.5121115173674589
177,0.5119972577696527
178,0.5111974405850092
179,0.5117687385740403
180,0.5117687385740403
181,0.5121115173674589
182,0.511654478976234
183,0.5117687385740403
184,0.5119972577696527
185,0.5121115173674589
186,0.511654478976234
187,0.5117687385740403
188,0.5117687385740403
189,0.5121115173674589
190,0.5119972577696527
191,0.511654478976234
192,0.5117687385740403
193,0.5117687385740403
194,0.5115402193784278
195,0.5117687385740403
196,0.5119972577696527
197,0.511654478976234
198,0.511654478976234
199,0.5119972577696527
200,0.511654478976234
201,0.5118829981718465
202,0.5117687385740403
203,0.5121115173674589
204,0.5118829981718465
205,0.511654478976234
206,0.5121115173674589
207,0.5117687385740403
208,0.5117687385740403
209,0.511654478976234
210,0.5117687385740403
211,0.5119972577696527
212,0.5118829981718465
213,0.5118829981718465
214,0.5117687385740403
215,0.5117687385740403
216,0.5122257769652651
217,0.5118829981718465
218,0.5118829981718465
219,0.5119972577696527
220,0.5119972577696527
221,0.5121115173674589
222,0.5118829981718465
223,0.5117687385740403
224,0.5118829981718465
225,0.5123400365630713
226,0.5115402193784278
227,0.5117687385740403
228,0.5115402193784278
229,0.5117687385740403
230,0.5121115173674589
231,0.5118829981718465
232,0.5117687385740403
233,0.5117687385740403
234,0.5118829981718465
235,0.5119972577696527
236,0.5117687385740403
237,0.5119972577696527
238,0.5117687385740403
239,0.5124542961608776
240,0.5122257769652651
241,0.5124542961608776
242,0.5115402193784278
243,0.5115402193784278
244,0.5119972577696527
245,0.5118829981718465
246,0.5118829981718465
247,0.5121115173674589
248,0.5121115173674589
249,0.5117687385740403
